@id,@lon,@lat,name,description
2051569337,20.8043628,41.0738678,Св. Стефан,
2284595454,20.7341011,41.6512525,Шаркова дупка,ширина:25m длабочина:20m
2618004798,20.8461408,41.0268349,Пештера Самотска Дупка,длабочина:224 m
4236969162,21.2922688,41.9301599,Пештера Врело,далобочина:240 m
4548455212,21.2384711,42.0266955,Дона Дука,длабочина:650 m
4927438169,21.3178988,41.6636444,Момичек,длабочина:100 m
5885199554,21.9627555,42.0992339,Куклица,
6541873821,20.9183188,41.7023494,Убавица,длабочина: 1300 m
6721858797,21.3201023,41.6733298,Голубарница,длабочина: 100 m
6721858822,21.3230413,41.6682174,Лапарница,длабочина: 108 m
7110462229,22.2247732,42.0055931,Лесновски воденичарски пештери,
7500932242,21.2531242,41.5476627,Пешна,длабочина: 124 m
7528701212,21.9865099,42.0837740,Цоцев Камен,
7570209739,20.6323074,41.1069317,Св. Архангел Михаил,
7968407884,20.7999772,40.9878938,Пештани,длабочина: 5 m
8360908943,21.6900379,41.3916989,Козјак,длабочина: 81 m
8832203418,21.7583072,42.0566921,Пчиња,

