@id,@lon,@lat,name,description
466248928,22.3551848,42.0347813,Хотел Изгрев,
470410033,21.1272790,42.1847710,Љуботен,ИГМ „Вратница“ - Вратница
548009375,21.3950771,41.9654096,Планинарски дом „Даре Џамбаз“,ПСД „Бистра“ - Скопје
1786613380,21.2190362,41.0330959,Копанки,ПД „Пелистер“ - Битола
1999960679,22.2459833,41.4066304,Калабастер,ФПСМ - СКА
2024605293,22.0459031,42.2888675,Длабочица,
2448424554,22.5180674,42.1579119,Заслон Руен,
3014170649,20.8020471,41.8038352,Шарски Води,
3639421034,21.4285926,41.6639916,Чеплес,ПСК „Солунска глава“ - Велес
3649017967,22.4169890,41.7592274,Вртешка,ДПС „Лисец“ - Штип капацитет: 40
3649158213,21.3049471,41.6760151,Горна Белица, СД „Пеони“ - Скопје
3649158793,22.3256456,41.2864493,Висока Чука,ПД „Миравци“ - Миравци капацитет:40
3649181784,22.1073625,41.3925662,Горни Дисан, ДПС „Просек“ - Неготино капацитет:30
3649231445,21.7667290,41.9273661,Дивље,ПОК „Кумановче“ - Скопје капацитет:30
3650382601,22.1960327,41.3495265,Драчевица,ПД „Просек“ - Неготино капацитет:40
3650680677,21.4236661,41.7916949,Караџица,ПД „Драчево“ - Скопје
3650721180,20.8793778,42.0163552,Љуботен,ПК „Љуботен“ - Тетово капацитет:12
3650751556,21.2992157,41.9502430,Матка,СД „Пеони“ - Скопје
3650767204,21.9277519,42.2845023,Молотино,ПД „Козјак“ - Куманово капацитет:18
3664552047,21.9969073,41.2101825,Мрежичко, ПД „Орле“ - Кавадарци капацитет:35
3664575460,21.2813186,40.9915726,Неолица, ПД „Ѓорѓи Наумов“ - Битола капацитет:48
3664591841,21.4387051,41.6416345,Папрадиште,„Green power“ - Велес капацитет:30
3664658438,22.3157246,41.6236949,Плоча, АК „Плоча“ - Радовиш капацитет:12
3668341495,22.0031897,42.2466736,Појак Калман,ГПД „Козјак“ - Куманово капацитет:22
3668398298,21.6407994,40.9721849,Скочивир, ПД „18 Август“ - Скопје капацитет:40
3668572971,21.4092236,41.9748842,Скопје 63,ПД „Скопје 63“ - Скопје
3668857493,20.8778624,42.0158843,Смрека,Д „Трансверзалец“ - Скопје капацитет:80
3668883558,21.7354404,41.0904700,Старавина,ПСД „Медикус“ - Битола капацитет:15
3669906379,20.8775370,41.6511623,Тајмиште,ПК „Работнички-Китка“ - Скопје капацитет: 40
3669966813,21.1876474,41.5816794,Урсус спелеос,ИД „Урсус спелеос“ - Скопје
3671888432,20.8821046,42.0112140,Конак,ДПС „Шара ски“ - Тетово капацитет: 24
3671954146,22.8828432,41.3562648,Шарена Чешма,ПАОК „Ентузијаст“ - Струмица капацитет:26
1000000067325261,21.2051864,40.9695194,Димитар Илиевски-Мурато,ПД „Пелистер“ - Битола
1000000439880867,20.9960495,41.7038910,Железна Река,ПСД „Кораб“ - Скопје
1000000569594416,21.1684709,41.0044790,Широка,
1000000821905307,21.6160786,41.3285083,Томе Темелкоски,
1000000852322534,20.5714050,41.2310638,Јанков Камен,
